radius,accuracy
0.000,0.62
0.010,0.62
0.020,0.62
0.030,0.62
0.040,0.62
0.050,0.62
0.060,0.62
0.070,0.62
0.080,0.62
0.090,0.62
0.100,0.62
0.110,0.62
0.120,0.62
0.130,0.62
0.140,0.61
0.150,0.61
0.160,0.61
0.170,0.61
0.180,0.61
0.190,0.6
0.200,0.59
0.210,0.58
0.220,0.55
0.230,0.54
0.240,0.53
0.250,0.53
0.260,0.52
0.270,0.51
0.280,0.51
0.290,0.51
0.300,0.51
0.310,0.51
0.320,0.51
0.330,0.5
0.340,0.5
0.350,0.5
0.360,0.5
0.370,0.5
0.380,0.5
0.390,0.5
0.400,0.5
0.410,0.48
0.420,0.48
0.430,0.48
0.440,0.48
0.450,0.48
0.460,0.48
0.470,0.47
0.480,0.47
0.490,0.47
0.500,0.47
0.510,0.47
0.520,0.47
0.530,0.46
0.540,0.46
0.550,0.46
0.560,0.45
0.570,0.45
0.580,0.45
0.590,0.45
0.600,0.45
0.610,0.45
0.620,0.45
0.630,0.45
0.640,0.44
0.650,0.44
0.660,0.43
0.670,0.43
0.680,0.43
0.690,0.43
0.700,0.43
0.710,0.43
0.720,0.42
0.730,0.42
0.740,0.41
0.750,0.41
0.760,0.4
0.770,0.4
0.780,0.4
0.790,0.4
0.800,0.4
0.810,0.4
0.820,0.4
0.830,0.4
0.840,0.38
0.850,0.38
0.860,0.38
0.870,0.37
0.880,0.37
0.890,0.36
0.900,0.36
0.910,0.36
0.920,0.35
0.930,0.35
0.940,0.35
0.950,0.35
0.960,0.35
0.970,0.35
0.980,0.35
0.990,0.35
1.000,0.35
1.010,0.35
1.020,0.35
1.030,0.34
1.040,0.34
1.050,0.34
1.060,0.34
1.070,0.34
1.080,0.34
1.090,0.34
1.100,0.34
1.110,0.33
1.120,0.33
1.130,0.32
1.140,0.31
1.150,0.31
1.160,0.31
1.170,0.31
1.180,0.31
1.190,0.3
1.200,0.29
1.210,0.28
1.220,0.28
1.230,0.27
1.240,0.27
1.250,0.27
1.260,0.27
1.270,0.27
1.280,0.27
1.290,0.27
1.300,0.27
1.310,0.26
1.320,0.26
1.330,0.26
1.340,0.26
1.350,0.26
1.360,0.26
1.370,0.25
1.380,0.25
1.390,0.25
1.400,0.25
1.410,0.24
1.420,0.24
1.430,0.24
1.440,0.24
1.450,0.23
1.460,0.23
1.470,0.22
1.480,0.22
1.490,0.21
1.500,0.21
1.510,0.21
1.520,0.21
1.530,0.2
1.540,0.2
1.550,0.2
1.560,0.16
1.570,0.16
1.580,0.16
1.590,0.16
1.600,0.0
1.610,0.0
1.620,0.0
1.630,0.0
1.640,0.0
1.650,0.0
1.660,0.0
1.670,0.0
1.680,0.0
1.690,0.0
1.700,0.0
1.710,0.0
1.720,0.0
1.730,0.0
1.740,0.0
1.750,0.0
1.760,0.0
1.770,0.0
1.780,0.0
1.790,0.0
1.800,0.0
1.810,0.0
1.820,0.0
1.830,0.0
1.840,0.0
1.850,0.0
1.860,0.0
1.870,0.0
1.880,0.0
1.890,0.0
1.900,0.0
1.910,0.0
1.920,0.0
1.930,0.0
1.940,0.0
1.950,0.0
1.960,0.0
1.970,0.0
1.980,0.0
1.990,0.0
2.000,0.0
